Id,District_Name,Neighborhood_Name,Street,Weekday,Month,Day,Hour,Part_of_the_day,Mild_injuries,Serious_injuries,Victims,Vehicles_involved,Longitude,Latitude,year,Date
2017S009135    ,Eixample,Sant Antoni,Sepúlveda / Calàbria                              ,Saturday,11,4,20,Afternoon,0,0,0,2,2.156427,41.378622,2017,2017-11-04
2017S001374    ,Eixample,Sant Antoni,PL UNIVERSITAT                                    ,Saturday,2,18,18,Afternoon,2,0,2,2,2.163427,41.385152,2017,2017-02-18
2017S006590    ,Eixample,Sant Antoni,Corts Catalanes / Viladomat                       ,Friday,7,28,20,Afternoon,2,0,2,2,2.156297,41.380433,2017,2017-07-28
2017S005177    ,Eixample,Sant Antoni,Sant Antoni Abat                                  ,Monday,6,12,17,Afternoon,1,0,1,1,2.160951,41.379642,2017,2017-06-12
2017S000681    ,Eixample,Sant Antoni,CALÀBRIA / Sepúlveda                              ,Thursday,1,26,8,Morning,1,0,1,1,2.156427,41.378622,2017,2017-01-26
2017S000235    ,Eixample,Sant Antoni,VILADOMAT                                         ,Tuesday,1,10,18,Afternoon,1,0,1,3,2.158258,41.378826,2017,2017-01-10
2017S000173    ,Eixample,Sant Antoni,MANSO                                             ,Sunday,1,8,16,Afternoon,0,0,0,3,2.159072,41.375666,2017,2017-01-08
2017S001702    ,Eixample,la Sagrada Família,VALÈNCIA / Padilla                                ,Wednesday,3,1,18,Afternoon,1,0,1,2,2.17889,41.404391,2017,2017-03-01
2017S001383    ,Eixample,la Dreta de l'Eixample,GV CORTS CATALANES / Pg Gràcia                    ,Sunday,2,19,0,Night,0,1,1,1,2.168274,41.389418,2017,2017-02-19
2017S002509    ,Eixample,la Dreta de l'Eixample,ARAGÓ / Pau Claris                                ,Wednesday,3,29,11,Morning,1,0,1,2,2.166376,41.393276,2017,2017-03-29
2017S007551    ,Eixample,la Dreta de l'Eixample,Mallorca / Roger de Flor                          ,Tuesday,9,12,11,Morning,1,0,1,3,2.17091,41.40012,2017,2017-09-12
2017S000561    ,Eixample,la Dreta de l'Eixample,ROGER DE LLÚRIA / Aragó                           ,Friday,1,20,23,Night,2,0,2,2,2.167508,41.39414,2017,2017-01-20
2017S006600    ,Eixample,la Dreta de l'Eixample,Pau Claris                                        ,Saturday,7,29,11,Morning,1,0,1,2,2.165979,41.393449,2017,2017-07-29
2017S008822    ,Eixample,la Dreta de l'Eixample,Diagonal / Pau Claris                             ,Wednesday,10,25,11,Morning,1,0,1,2,2.161465,41.397016,2017,2017-10-25
2017S005346    ,Eixample,la Dreta de l'Eixample,Pau Claris / Rosselló                             ,Monday,6,19,5,Night,1,0,1,2,2.161847,41.39672,2017,2017-06-19
2017S005586    ,Eixample,la Dreta de l'Eixample,Rosselló / Pau Claris                             ,Monday,6,26,21,Afternoon,2,0,2,2,2.161847,41.39672,2017,2017-06-26
2017S002502    ,Eixample,la Sagrada Família,AV DIAGONAL / Cartagena                           ,Wednesday,3,29,7,Morning,2,0,2,2,2.184655,41.403205,2017,2017-03-29
2017S006248    ,Eixample,la Dreta de l'Eixample,Pau Claris / València                             ,Monday,7,17,19,Afternoon,1,0,1,2,2.165261,41.394136,2017,2017-07-17
2017S007748    ,Eixample,la Dreta de l'Eixample,Pau Claris                                        ,Tuesday,9,19,11,Morning,1,0,1,2,2.163849,41.395343,2017,2017-09-19
2017S006807    ,Eixample,la Sagrada Família,Aragó / Castillejos                               ,Monday,8,7,1,Night,1,0,1,2,2.181123,41.404366,2017,2017-08-07
2017S007287    ,Eixample,la Sagrada Família,Aragó                                             ,Thursday,8,31,9,Morning,1,0,1,3,2.181477,41.404516,2017,2017-08-31
2017S004193    ,Eixample,la Sagrada Família,València / Cartagena                              ,Thursday,5,11,17,Afternoon,1,0,1,2,2.18111,41.406037,2017,2017-05-11
2017S001334    ,Eixample,la Dreta de l'Eixample,VALÈNCIA / Roger de Llúria                        ,Friday,2,17,13,Morning,1,0,1,3,2.166369,41.394987,2017,2017-02-17
2017S000265    ,Eixample,la Dreta de l'Eixample,ROGER DE LLÚRIA                                   ,Wednesday,1,11,19,Afternoon,1,0,1,2,2.165569,41.39547,2017,2017-01-11
2017S000755    ,Eixample,la Dreta de l'Eixample,PAU CLARIS / Av Diagonal                          ,Saturday,1,28,17,Afternoon,1,0,1,2,2.161465,41.397016,2017,2017-01-28
2017S000813    ,Eixample,la Sagrada Família,VALÈNCIA                                          ,Monday,1,30,20,Afternoon,1,0,1,2,2.181566,41.406531,2017,2017-01-30
2017S005520    ,Eixample,la Dreta de l'Eixample,Aragó / Balmes                                    ,Saturday,6,24,16,Afternoon,0,0,0,2,2.16187,41.389891,2017,2017-06-24
2017S008639    ,Eixample,la Dreta de l'Eixample,Aragó                                             ,Thursday,10,19,20,Afternoon,1,0,1,2,2.162704,41.390728,2017,2017-10-19
2017S010074    ,Eixample,la Dreta de l'Eixample,Aragó / Catalunya                                 ,Saturday,12,2,15,Afternoon,1,0,1,2,2.163448,41.391077,2017,2017-12-02
2017S002119    ,Eixample,la Dreta de l'Eixample,PG GRÀCIA / Av Diagonal                           ,Thursday,3,16,15,Afternoon,1,0,1,2,2.159495,41.396524,2017,2017-03-16
2017S001638    ,Eixample,la Dreta de l'Eixample,PG GRÀCIA / Av Diagonal                           ,Tuesday,2,28,9,Morning,1,0,1,2,2.159495,41.396524,2017,2017-02-28
2017S000970    ,Eixample,la Dreta de l'Eixample,AV DIAGONAL / Pg Gràcia                           ,Sunday,2,5,13,Morning,1,0,1,2,2.159495,41.396524,2017,2017-02-05
2017S000665    ,Eixample,la Dreta de l'Eixample,AV DIAGONAL / Pg Gràcia                           ,Wednesday,1,25,15,Afternoon,1,0,1,2,2.159495,41.396524,2017,2017-01-25
2017S001731    ,Eixample,la Dreta de l'Eixample,PG GRÀCIA / Av Diagonal                           ,Thursday,3,2,16,Afternoon,1,0,1,2,2.159495,41.396524,2017,2017-03-02
2017S008889    ,Eixample,la Dreta de l'Eixample,Balmes / Provença                                 ,Friday,10,27,9,Morning,1,0,1,3,2.1585,41.392446,2017,2017-10-27
2017S008603    ,Eixample,la Dreta de l'Eixample,Diagonal                                          ,Wednesday,10,18,16,Afternoon,1,0,1,2,2.158137,41.395938,2017,2017-10-18
2017S006945    ,Eixample,la Dreta de l'Eixample,València / Catalunya                              ,Saturday,8,12,23,Night,1,0,1,3,2.162304,41.391909,2017,2017-08-12
2017S000818    ,Eixample,la Dreta de l'Eixample,RBLA CATALUNYA / Rosselló                         ,Monday,1,30,23,Night,1,0,1,2,2.158845,41.394428,2017,2017-01-30
2017S008515    ,Eixample,la Dreta de l'Eixample,Provença                                          ,Monday,10,16,19,Afternoon,0,1,1,2,2.158819,41.392853,2017,2017-10-16
2017S006436    ,Eixample,la Sagrada Família,València / Lepant                                 ,Monday,7,24,5,Night,2,0,2,2,2.177825,41.403574,2017,2017-07-24
2017S008937    ,Eixample,la Dreta de l'Eixample,Catalunya / Provença                              ,Saturday,10,28,21,Afternoon,1,0,1,3,2.15998,41.393601,2017,2017-10-28
2017S000622    ,Eixample,la Sagrada Família,ARAGÓ / Padilla                                   ,Monday,1,23,21,Afternoon,1,0,1,4,2.180009,41.403541,2017,2017-01-23
2017S000850    ,Eixample,la Sagrada Família,ARAGÓ / Castillejos                               ,Wednesday,2,1,9,Morning,1,0,1,2,2.181123,41.404366,2017,2017-02-01
2017S000389    ,Eixample,la Dreta de l'Eixample,AV DIAGONAL / Pg Gràcia                           ,Sunday,1,15,14,Afternoon,0,0,0,2,2.159495,41.396524,2017,2017-01-15
2017S001049    ,Eixample,la Sagrada Família,ARAGÓ / Padilla                                   ,Wednesday,2,8,14,Afternoon,1,0,1,2,2.180009,41.403541,2017,2017-02-08
2017S000152    ,Eixample,la Sagrada Família,LEPANT / València                                 ,Saturday,1,7,13,Morning,1,0,1,3,2.177825,41.403574,2017,2017-01-07
2017S002390    ,Eixample,la Dreta de l'Eixample,RBLA CATALUNYA                                    ,Friday,3,24,21,Afternoon,1,0,1,1,2.161794,41.392086,2017,2017-03-24
2017S010379    ,Eixample,la Dreta de l'Eixample,Mallorca / Catalunya                              ,Friday,12,15,17,Afternoon,2,0,2,2,2.161147,41.39275,2017,2017-12-15
2017S004104    ,Eixample,la Sagrada Família,Mallorca                                          ,Tuesday,5,9,9,Morning,2,0,2,3,2.178531,41.405687,2017,2017-05-09
2017S009917    ,Eixample,la Dreta de l'Eixample,València                                          ,Tuesday,11,28,16,Afternoon,1,0,1,2,2.16271,41.392382,2017,2017-11-28
2017S010155    ,Eixample,la Dreta de l'Eixample,València                                          ,Tuesday,12,5,16,Afternoon,3,0,3,2,2.16328,41.392525,2017,2017-12-05
2017S005470    ,Eixample,la Dreta de l'Eixample,València                                          ,Thursday,6,22,16,Afternoon,2,0,2,2,2.163416,41.39263,2017,2017-06-22
2017S010534    ,Eixample,la Sagrada Família,Mallorca / Castillejos                            ,Wednesday,12,20,14,Afternoon,2,0,2,2,2.178886,41.406072,2017,2017-12-20
2017S010259    ,Eixample,la Dreta de l'Eixample,Corts Catalanes                                   ,Monday,12,11,18,Afternoon,1,0,1,1,2.166162,41.388168,2017,2017-12-11
2017S004326    ,Eixample,la Dreta de l'Eixample,Aragó                                             ,Monday,5,15,20,Afternoon,1,0,1,2,2.16531,41.392694,2017,2017-05-15
2017S006235    ,Eixample,la Dreta de l'Eixample,Aragó / Pau Claris                                ,Monday,7,17,15,Afternoon,1,0,1,2,2.166376,41.393276,2017,2017-07-17
2017S009533    ,Eixample,la Dreta de l'Eixample,Aragó                                             ,Thursday,11,16,18,Afternoon,1,0,1,2,2.166925,41.393911,2017,2017-11-16
2017S009128    ,Eixample,la Dreta de l'Eixample,Rosselló / Roger de Llúria                        ,Saturday,11,4,22,Night,1,0,1,2,2.163111,41.397455,2017,2017-11-04
2017S002417    ,Eixample,la Sagrada Família,CONSELL DE CENT                                   ,Saturday,3,25,20,Afternoon,1,0,1,2,2.181838,41.403339,2017,2017-03-25
2017S008623    ,Eixample,la Sagrada Família,València / Padilla                                ,Thursday,10,19,11,Morning,1,0,1,2,2.17889,41.404391,2017,2017-10-19
2017S010249    ,Eixample,la Dreta de l'Eixample,Aragó / Roger de Llúria                           ,Monday,12,11,13,Morning,1,0,1,2,2.167508,41.39414,2017,2017-12-11
2017S009241    ,Eixample,la Dreta de l'Eixample,Roger de Llúria / Aragó                           ,Wednesday,11,8,18,Afternoon,2,0,2,2,2.167508,41.39414,2017,2017-11-08
2017S010574    ,Eixample,la Dreta de l'Eixample,Pau Claris / Provença                             ,Thursday,12,21,17,Afternoon,1,0,1,2,2.162979,41.395876,2017,2017-12-21
2017S006435    ,Eixample,la Sagrada Família,Consell de Cent / Castillejos                     ,Sunday,7,23,22,Night,6,0,6,2,2.182252,41.403495,2017,2017-07-23
2017S006693    ,Eixample,la Sagrada Família,Aragó                                             ,Wednesday,8,2,15,Afternoon,1,0,1,2,2.181457,41.404887,2017,2017-08-02
2017S004728    ,Eixample,la Dreta de l'Eixample,Mallorca / Gràcia                                 ,Monday,5,29,15,Afternoon,2,0,2,2,2.162709,41.393924,2017,2017-05-29
2017S004660    ,Eixample,la Dreta de l'Eixample,Mallorca / Gràcia                                 ,Friday,5,26,16,Afternoon,1,0,1,2,2.162709,41.393924,2017,2017-05-26
2017S000717    ,Eixample,la Dreta de l'Eixample,PG GRÀCIA / Consell de Cent                       ,Friday,1,27,12,Morning,1,0,1,2,2.165956,41.391288,2017,2017-01-27
2017S001071    ,Eixample,la Dreta de l'Eixample,PG GRÀCIA / Aragó                                 ,Wednesday,2,8,18,Afternoon,1,0,1,2,2.164884,41.392165,2017,2017-02-08
2017S000495    ,Eixample,la Dreta de l'Eixample,ARAGÓ / Pg Gràcia                                 ,Wednesday,1,18,18,Afternoon,1,0,1,2,2.164884,41.392165,2017,2017-01-18
2017S008888    ,Eixample,la Nova Esquerra de l'Eixample,Vilamarí                                          ,Friday,10,27,10,Morning,1,0,1,2,2.151223,41.377315,2017,2017-10-27
2017S003475    ,Eixample,l'Antiga Esquerra de l'Eixample,Comte d'Urgell / Consell de Cent                  ,Tuesday,4,18,21,Afternoon,3,0,3,4,2.156188,41.383929,2017,2017-04-18
2017S009464    ,Eixample,l'Antiga Esquerra de l'Eixample,València / Aribau                                 ,Wednesday,11,15,11,Morning,2,0,2,2,2.15848,41.389038,2017,2017-11-15
2017S008918    ,Eixample,l'Antiga Esquerra de l'Eixample,Villarroel / Diputació                            ,Saturday,10,28,3,Night,1,0,1,1,2.15846,41.383924,2017,2017-10-28
2017S009032    ,Eixample,l'Antiga Esquerra de l'Eixample,Aragó                                             ,Wednesday,11,1,18,Afternoon,1,0,1,3,2.157157,41.386219,2017,2017-11-01
2017S007926    ,Eixample,l'Antiga Esquerra de l'Eixample,Aragó / Casanova                                  ,Monday,9,25,11,Morning,1,0,1,2,2.157337,41.386477,2017,2017-09-25
2017S001583    ,Eixample,l'Antiga Esquerra de l'Eixample,ARIBAU                                            ,Saturday,2,25,20,Afternoon,1,0,1,2,2.161403,41.386965,2017,2017-02-25
2017S005761    ,Eixample,l'Antiga Esquerra de l'Eixample,Diagonal / Balmes                                 ,Tuesday,6,27,19,Afternoon,2,0,2,2,2.154711,41.395317,2017,2017-06-27
2017S005726    ,Eixample,l'Antiga Esquerra de l'Eixample,Diputació / Balmes                                ,Saturday,7,1,12,Morning,2,0,2,1,2.164116,41.388186,2017,2017-07-01
2017S001212    ,Eixample,l'Antiga Esquerra de l'Eixample,ARAGÓ / Balmes                                    ,Monday,2,13,22,Night,1,0,1,1,2.16187,41.389891,2017,2017-02-13
2017S009514    ,Eixample,l'Antiga Esquerra de l'Eixample,València                                          ,Thursday,11,16,14,Afternoon,1,0,1,2,2.157702,41.38833,2017,2017-11-16
2017S001222    ,Eixample,l'Antiga Esquerra de l'Eixample,BALMES / València                                 ,Tuesday,2,14,9,Morning,1,0,1,2,2.160748,41.390739,2017,2017-02-14
2017S001156    ,Eixample,l'Antiga Esquerra de l'Eixample,BALMES / València                                 ,Saturday,2,11,10,Morning,2,0,2,2,2.160748,41.390739,2017,2017-02-11
2017S008220    ,Eixample,l'Antiga Esquerra de l'Eixample,Corts Catalanes / Universitat                     ,Tuesday,9,19,1,Night,1,0,1,2,2.163105,41.385547,2017,2017-09-19
2017S005865    ,Eixample,l'Antiga Esquerra de l'Eixample,Aragó / Muntaner                                  ,Wednesday,7,5,17,Afternoon,2,0,2,2,2.158465,41.38733,2017,2017-07-05
2017S006308    ,Eixample,l'Antiga Esquerra de l'Eixample,Muntaner / Aragó                                  ,Wednesday,7,19,15,Afternoon,1,0,1,2,2.158465,41.38733,2017,2017-07-19
2017S006517    ,Eixample,l'Antiga Esquerra de l'Eixample,Aribau                                            ,Wednesday,7,26,13,Morning,1,0,1,2,2.162052,41.386195,2017,2017-07-26
2017S005574    ,Eixample,l'Antiga Esquerra de l'Eixample,Aribau / Diputació                                ,Monday,6,26,17,Afternoon,1,0,1,2,2.161864,41.386483,2017,2017-06-26
2017S010394    ,Eixample,l'Antiga Esquerra de l'Eixample,Villarroel / Consell de Cent                      ,Saturday,12,16,11,Morning,1,0,1,3,2.157334,41.384783,2017,2017-12-16
2017S002421    ,Eixample,l'Antiga Esquerra de l'Eixample,AV DIAGONAL / Balmes                              ,Sunday,3,26,0,Night,2,0,2,3,2.154711,41.395317,2017,2017-03-26
2017S004999    ,Eixample,l'Antiga Esquerra de l'Eixample,Aribau                                            ,Thursday,6,8,3,Night,0,0,0,2,2.160845,41.387108,2017,2017-06-08
2017S008314    ,Eixample,l'Antiga Esquerra de l'Eixample,Consell de Cent                                   ,Monday,10,9,8,Morning,1,0,1,2,2.159989,41.386928,2017,2017-10-09
2017S009624    ,Eixample,l'Antiga Esquerra de l'Eixample,Muntaner / València                               ,Monday,11,20,10,Morning,1,0,1,3,2.157335,41.38818,2017,2017-11-20
2017S000498    ,Eixample,l'Antiga Esquerra de l'Eixample,VALÈNCIA                                          ,Wednesday,1,18,21,Afternoon,1,0,1,2,2.158902,41.389512,2017,2017-01-18
2017S003366    ,Eixample,l'Antiga Esquerra de l'Eixample,Aribau / Diagonal                                 ,Thursday,4,13,15,Afternoon,1,0,1,2,2.151307,41.394459,2017,2017-04-13
2017S005378    ,Eixample,l'Antiga Esquerra de l'Eixample,Diagonal / Aribau                                 ,Monday,6,19,16,Afternoon,1,0,1,2,2.151307,41.394459,2017,2017-06-19
2017S000129    ,Eixample,l'Antiga Esquerra de l'Eixample,CONSELL DE CENT / Aribau                          ,Friday,1,6,0,Night,1,0,1,2,2.160726,41.387335,2017,2017-01-06
2017S006729    ,Eixample,l'Antiga Esquerra de l'Eixample,Aragó / Villarroel                                ,Thursday,8,3,14,Afternoon,1,0,1,2,2.156205,41.385633,2017,2017-08-03
